UID        PID  PPID  C STIME TTY          TIME CMD
can       5697  4426  0 21:08 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=33 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       5808  1696  0 21:10 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd-network --spawner :1.9 /org/gtk/gvfs/exec_spaw/1
can       5836  1696  0 21:10 ?        00:00:00 /nix/store/cnjw7r9gkwbk0xb3pk6fv46qqpwdrh98-gvfs-1.44.1/libexec/gvfsd-dnssd --spawner :1.9 /org/gtk/gvfs/exec_spaw/3
can       5916     1  0 21:10 ?        00:00:00 /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse/eclipse -configuration /home/can/.eclipse/org.eclipse.platform_4.16.0/configuration
can       5934  5916  2 21:10 ?        00:02:14 /nix/store/48ddc74sdlinbg5q5655i4z8kp6xasb0-openjdk-11.0.9+11/bin/java -Dosgi.requiredJavaVersion=1.8 -Dosgi.instance.area.default=@user.home/eclipse-workspace -XX:+UseG1GC -XX:+UseStringDeduplication --add-modules=ALL-SYSTEM -Dosgi.requiredJavaVersion=1.8 -Dosgi.dataAreaRequiresExplicitInit=true -Xms256m -Xmx2048m --add-modules=ALL-SYSTEM -jar /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar -os linux -ws gtk -arch x86_64 -showsplash /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse//plugins/org.eclipse.epp.package.common_4.16.0.20200615-1200/splash.bmp -launcher /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse/eclipse -name Eclipse --launcher.library /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse//plugins/org.eclipse.equinox.launcher.gtk.linux.x86_64_1.1.1200.v20200508-1552/eclipse_1801.so -startup /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar --launcher.appendVmargs -exitdata 8012 -product org.eclipse.epp.package.java.product -configuration /home/can/.eclipse/org.eclipse.platform_4.16.0/configuration -vm /nix/store/48ddc74sdlinbg5q5655i4z8kp6xasb0-openjdk-11.0.9+11/bin/java -vmargs -Dosgi.requiredJavaVersion=1.8 -Dosgi.instance.area.default=@user.home/eclipse-workspace -XX:+UseG1GC -XX:+UseStringDeduplication --add-modules=ALL-SYSTEM -Dosgi.requiredJavaVersion=1.8 -Dosgi.dataAreaRequiresExplicitInit=true -Xms256m -Xmx2048m --add-modules=ALL-SYSTEM -jar /nix/store/1ga9jf3xd04mx13jnj7jd9j85jxyhbps-eclipse-java-4.16/eclipse//plugins/org.eclipse.equinox.launcher_1.5.700.v20200207-2156.jar
root      5989     2  0 21:10 ?        00:00:00 [kworker/4:0-events]
can       6527  5934  0 21:10 ?        00:00:01 /nix/store/hmky82dhqrzs8fw9bm8dldy6b2fd0pbj-webkitgtk-2.30.3/libexec/webkit2gtk-4.0/WebKitWebProcess 7 133
can       6528  5934  0 21:10 ?        00:00:00 /nix/store/hmky82dhqrzs8fw9bm8dldy6b2fd0pbj-webkitgtk-2.30.3/libexec/webkit2gtk-4.0/WebKitNetworkProcess 8 133
root      6600     2  0 21:11 ?        00:00:00 [kworker/5:2-mm_percpu_wq]
can       6702  5934  0 21:12 ?        00:00:01 /nix/store/hmky82dhqrzs8fw9bm8dldy6b2fd0pbj-webkitgtk-2.30.3/libexec/webkit2gtk-4.0/WebKitWebProcess 23 158
can       6781  5934  0 21:13 ?        00:00:00 /nix/store/hmky82dhqrzs8fw9bm8dldy6b2fd0pbj-webkitgtk-2.30.3/libexec/webkit2gtk-4.0/WebKitWebProcess 30 158
root      7077     2  0 21:41 ?        00:00:00 [kworker/0:1-events]
root      7080     2  0 21:41 ?        00:00:00 [kworker/3:1-rcu_gp]
root      7094     2  0 21:41 ?        00:00:00 [kworker/4:1-mm_percpu_wq]
root      7097     2  0 21:41 ?        00:00:00 [kworker/1:0-mm_percpu_wq]
root      7117     2  0 21:44 ?        00:00:01 [kworker/7:1-events]
root      7164     2  0 21:44 ?        00:00:00 [kworker/7:2-rcu_gp]
root      7209     2  0 21:44 ?        00:00:00 [kworker/0:2-rcu_gp]
root      7214     2  0 21:44 ?        00:00:00 [kworker/u16:17-phy0]
root      7238     2  0 22:16 ?        00:00:00 [irq/128-mei_me]
root      7249     2  0 22:16 ?        00:00:00 [kworker/u16:52-events_unbound]
root      7256     2  0 22:16 ?        00:00:00 [kworker/5:0-events]
root      7257     2  0 22:16 ?        00:00:00 [kworker/u17:1-rb_allocator]
root      7325     2  0 22:16 ?        00:00:00 [kworker/2:3-rcu_gp]
root      7326     2  0 22:16 ?        00:00:00 [kworker/2:5-mm_percpu_wq]
nscd      7553     1  0 22:16 ?        00:00:00 nscd
can       7621  4426  1 22:16 ?        00:00:10 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=42 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
root      7809     2  0 22:18 ?        00:00:00 [kworker/6:1-mm_percpu_wq]
can       7810  4426  3 22:18 ?        00:00:22 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=56 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       7933  4426  0 22:20 ?        00:00:01 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=61 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       7996  4426  2 22:20 ?        00:00:13 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=66 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       8087  4426  0 22:20 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=71 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       8101  4426  0 22:20 ?        00:00:02 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=72 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       8115  4426  0 22:20 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=73 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       8158     1  0 22:21 ?        00:00:03 alacritty
can       8163  8158  0 22:21 pts/0    00:00:00 /run/current-system/sw/bin/bash
root      8529     2  0 22:22 ?        00:00:00 [kworker/7:3-mm_percpu_wq]
root      8775     2  0 22:25 ?        00:00:00 [kworker/2:0-mm_percpu_wq]
root      8776     2  0 22:25 ?        00:00:00 [kworker/2:1-events]
root      9093     2  0 22:25 ?        00:00:00 [kworker/3:2-events]
root      9094     2  0 22:25 ?        00:00:00 [kworker/3:3-mm_percpu_wq]
root      9150     2  0 22:26 ?        00:00:00 [kworker/u16:0-i915]
root      9151     2  0 22:26 ?        00:00:00 [kworker/0:0-events_power_efficient]
can       9194  8163  0 22:28 pts/0    00:00:00 ps -ef
